stateid,weekid,dose1,dose2
CT,5,92923.0,20043.0
CT,6,35488.0,30850.0
CT,7,135465.0,68637.0
CT,8,188558.0,71254.0
CT,9,380761.0,77093.0
CT,10,347956.0,38205.0
CT,11,877543.0,31449.0
CT,12,1414409.0,68006.0
CT,13,655297.0,87068.0
CT,14,344583.0,109453.0
CT,15,154731.0,141441.0
CT,16,82336.0,139938.0
CT,17,100446.0,195163.0
CT,18,34036.0,11323.0
CT,19,34329.0,11337.0
CT,20,24237.0,28557.0
CT,21,17046.0,26417.0
CT,22,21184.0,28498.0
CT,23,1022250.0,204703.0
CT,24,955539.0,265779.0
CT,25,324582.0,183110.0
CT,26,397105.0,148307.0
CT,27,373348.0,167120.0
CT,28,370345.0,166038.0
CT,29,490240.0,242165.0
CT,30,260467.0,213065.0
DL,1,11420.0,0.0
DL,2,32446.0,0.0
DL,3,52734.0,0.0
DL,4,80682.0,1967.0
DL,5,112963.0,16306.0
DL,6,76562.0,20459.0
DL,7,59191.0,29532.0
DL,8,71391.0,52494.0
DL,9,80893.0,70747.0
DL,10,99515.0,51811.0
DL,11,532730.0,45269.0
DL,12,493931.0,75593.0
DL,13,415749.0,94245.0
DL,14,274836.0,114710.0
DL,15,216007.0,145011.0
DL,16,432516.0,150147.0
DL,17,420102.0,185393.0
DL,18,472965.0,104987.0
DL,19,211070.0,52037.0
DL,20,222480.0,81145.0
DL,21,267860.0,155638.0
DL,22,304796.0,137733.0
DL,23,685715.0,121819.0
DL,24,837050.0,206630.0
DL,25,347699.0,169735.0
DL,26,320221.0,135129.0
DL,27,155109.0,172376.0
DL,28,94614.0,280822.0
DL,29,361519.0,270569.0
DL,30,506741.0,329534.0
DN,1,257.0,0.0
DN,2,572.0,0.0
DN,3,1403.0,0.0
DN,4,1805.0,71.0
DN,5,2316.0,394.0
DN,6,928.0,209.0
DN,7,3942.0,1210.0
DN,8,3086.0,1358.0
DN,9,4011.0,1348.0
DN,10,3713.0,680.0
DN,11,12368.0,1248.0
DN,12,24706.0,2260.0
DN,13,12834.0,2401.0
DN,14,4752.0,2206.0
DN,15,3037.0,3182.0
DN,16,2813.0,4205.0
DN,17,9081.0,5099.0
DN,18,28723.0,38.0
DN,19,40317.0,49.0
DN,20,36291.0,104.0
DN,21,43328.0,283.0
DN,22,41145.0,579.0
DN,23,60008.0,4986.0
DN,24,77257.0,15723.0
DN,25,47581.0,12135.0
DN,26,44556.0,6787.0
DN,27,19373.0,4797.0
DN,28,24891.0,3418.0
DN,29,25170.0,4142.0
DN,30,18093.0,11509.0
GA,1,921.0,0.0
GA,2,2493.0,0.0
GA,3,3996.0,0.0
GA,4,5817.0,309.0
GA,5,2845.0,964.0
GA,6,3748.0,1477.0
GA,7,17024.0,4156.0
GA,8,18901.0,4802.0
GA,9,20455.0,2625.0
GA,10,15441.0,2831.0
GA,11,19828.0,4451.0
GA,12,28866.0,9070.0
GA,13,51493.0,14593.0
GA,14,45666.0,16298.0
GA,15,44461.0,11688.0
GA,16,27329.0,9744.0
GA,17,32909.0,11207.0
GA,18,47020.0,453.0
GA,19,37256.0,293.0
GA,20,41010.0,1289.0
GA,21,56267.0,1598.0
GA,22,122640.0,3077.0
GA,23,101915.0,6866.0
GA,24,104524.0,20017.0
GA,25,64429.0,38377.0
GA,26,58469.0,42474.0
GA,27,37450.0,36859.0
GA,28,41482.0,26878.0
GA,29,32680.0,22663.0
GA,30,25430.0,34850.0
GJ,1,43987402.0,0.0
GJ,2,1031004070.0,0.0
GJ,3,3827563031.0,0.0
GJ,4,6439995074.0,2.0
GJ,5,789540933.0,58145728.0
GJ,6,133299317.0,844305390.0
GJ,7,51689053837.0,2448287631.0
GJ,8,53318025601.0,2553601434.0
GJ,9,5148778854.0,8867536842.0
GJ,10,571439638215.0,982243598.0
GJ,11,236937620754.0,1015197126.0
GJ,12,411164365671.0,25185069782.0
GJ,13,126822777934.0,10487955808.0
GJ,14,65700788931.0,58784735854.0
GJ,15,54107222574.0,97734042723.0
GJ,16,3383339314930.0,103953519408.0
GJ,17,167487458355.0,80026514193.0
GJ,18,41745268576.0,804454191.0
GJ,19,2380834931333.0,12371474103.0
GJ,20,498756837124.0,14753375536.0
GJ,21,1153873699114.0,20160329532.0
GJ,22,1441017886088.0,29175594394.0
GJ,23,1841314732098.0,47402645295.0
GJ,24,1109196036539.0,56959871789.0
GJ,25,5855607569450.0,28566708322.0
GJ,26,1325826919249.0,45842244008.0
GJ,27,1549318071045.0,179312391868.0
GJ,28,1503034077978.0,60847991941.0
GJ,29,1957448693070.0,204139291602.0
GJ,30,2671923217760.0,2011821831263.0
HP,1,5194.0,0.0
HP,2,17391.0,0.0
HP,3,26548.0,0.0
HP,4,27408.0,449.0
HP,5,17826.0,11382.0
HP,6,6358.0,8662.0
HP,7,19965.0,24530.0
HP,8,45478.0,18159.0
HP,9,86720.0,16137.0
HP,10,96216.0,6943.0
HP,11,171215.0,4521.0
HP,12,316877.0,14656.0
HP,13,306340.0,28920.0
HP,14,211198.0,48268.0
HP,15,207336.0,78505.0
HP,16,136934.0,98532.0
HP,17,85340.0,73015.0
