stateid,weekid,dose1,dose2
TG,21,1213222.0,40586.0
TG,22,1196291.0,42555.0
TG,23,1165899.0,91356.0
TG,24,1089154.0,215383.0
TG,25,478232.0,285436.0
TG,26,450695.0,421780.0
TG,27,201798.0,541368.0
TG,28,179815.0,542890.0
TG,29,340753.0,410166.0
TG,30,484202.0,258336.0
TN,1,29957.0,0.0
TN,2,45807.0,0.0
TN,3,49447.0,0.0
TN,4,68822.0,667.0
TN,5,60715.0,13288.0
TN,6,28722.0,21371.0
TN,7,269803.0,29846.0
TN,8,530641.0,53967.0
TN,9,664353.0,63496.0
TN,10,642748.0,46826.0
TN,11,429242.0,51001.0
TN,12,452737.0,110669.0
TN,13,789479.0,214270.0
TN,14,313018.0,345853.0
TN,15,295046.0,407923.0
TN,16,223744.0,291633.0
TN,17,267383.0,260422.0
TN,18,251669.0,50630.0
TN,19,1367236.0,51170.0
TN,20,1142961.0,81141.0
TN,21,578645.0,50912.0
TN,22,1735059.0,115425.0
TN,23,2181657.0,209470.0
TN,24,1502143.0,243981.0
TN,25,542310.0,226213.0
TN,26,1460195.0,517402.0
TN,27,1319775.0,325693.0
TN,28,1591118.0,417321.0
TN,29,1672023.0,417941.0
TN,30,1240484.0,280844.0
TR,1,3242.0,0.0
TR,2,17993.0,0.0
TR,3,10893.0,0.0
TR,4,29275.0,334.0
TR,5,19365.0,11080.0
TR,6,7214.0,9588.0
TR,7,18629.0,7932.0
TR,8,25927.0,18620.0
TR,9,116361.0,19131.0
TR,10,303750.0,8267.0
TR,11,83174.0,4804.0
TR,12,85000.0,12390.0
TR,13,45278.0,22711.0
TR,14,54367.0,77270.0
TR,15,86924.0,162825.0
TR,16,45448.0,111604.0
TR,17,32583.0,40986.0
TR,18,59022.0,334.0
TR,19,36084.0,580.0
TR,20,46963.0,471.0
TR,21,19783.0,4493.0
TR,22,236415.0,24532.0
TR,23,510210.0,36598.0
TR,24,104894.0,40919.0
TR,25,59108.0,32856.0
TR,26,82326.0,44761.0
TR,27,69473.0,49589.0
TR,28,150211.0,43390.0
TR,29,45271.0,14927.0
TR,30,28407.0,26677.0
UP,1,28432.0,0.0
UP,2,402396.0,0.0
UP,3,205067.0,0.0
UP,4,226272.0,2.0
UP,5,272211.0,100269.0
UP,6,144485.0,287282.0
UP,7,204710.0,141651.0
UP,8,544744.0,91884.0
UP,9,1272671.0,274272.0
UP,10,1081781.0,125298.0
UP,11,1126447.0,46811.0
UP,12,1744325.0,171815.0
UP,13,1846548.0,371808.0
UP,14,677399.0,387326.0
UP,15,551585.0,372185.0
UP,16,583469.0,410587.0
UP,17,808617.0,480241.0
UP,18,1182001.0,84511.0
UP,19,1639131.0,105051.0
UP,20,2080422.0,177414.0
UP,21,2559576.0,167611.0
UP,22,2403130.0,228355.0
UP,23,4542151.0,298371.0
UP,24,1646890.0,498300.0
UP,25,3591625.0,977354.0
UP,26,2461828.0,724122.0
UP,27,3349507.0,687771.0
UP,28,3306246.0,581056.0
UP,29,4712487.0,601298.0
UP,30,3049900.0,788694.0
UT,1,2727.0,0.0
UT,2,20684.0,0.0
UT,3,46416.0,0.0
UT,4,39628.0,403.0
UT,5,28286.0,7886.0
UT,6,9846.0,12215.0
UT,7,42864.0,35259.0
UT,8,66264.0,29830.0
UT,9,119424.0,27835.0
UT,10,122378.0,10289.0
UT,11,225500.0,16007.0
UT,12,380519.0,39425.0
UT,13,219846.0,61996.0
UT,14,194108.0,91544.0
UT,15,155973.0,91535.0
UT,16,93767.0,156907.0
UT,17,196189.0,99421.0
UT,18,126923.0,618.0
UT,19,116421.0,2054.0
UT,20,130434.0,3882.0
UT,21,252104.0,7837.0
UT,22,218938.0,37386.0
UT,23,616128.0,35808.0
UT,24,238405.0,95017.0
UT,25,235014.0,127012.0
UT,26,136605.0,175502.0
UT,27,174450.0,150844.0
UT,28,260427.0,119842.0
UT,29,552522.0,138712.0
UT,30,472556.0,147531.0
WB,1,41262.0,0.0
WB,2,170838.0,0.0
WB,3,109807.0,0.0
WB,4,156918.0,1084.0
WB,5,139586.0,43442.0
WB,6,333553.0,94321.0
WB,7,346056.0,98781.0
WB,8,692572.0,120181.0
WB,9,1049236.0,123596.0
WB,10,1101115.0,131092.0
WB,11,1117185.0,95357.0
WB,12,1712540.0,210728.0
WB,13,604467.0,244081.0
WB,14,650063.0,548644.0
WB,15,462831.0,656799.0
WB,16,133816.0,760535.0
WB,17,131318.0,589347.0
WB,18,318923.0,96990.0
WB,19,1133002.0,49083.0
WB,20,1683066.0,77019.0
WB,21,1471746.0,97541.0
WB,22,1115331.0,221649.0
WB,23,1643157.0,463266.0
WB,24,815188.0,732087.0
WB,25,569656.0,907248.0
WB,26,835366.0,1096734.0
WB,27,946725.0,734887.0
WB,28,1350077.0,486888.0
WB,29,2121735.0,388892.0
WB,30,1856470.0,318877.0
